Postnummer,Ort,KnNamn,KnKod,LnNamn,Latitude,Longitude,Google-maps
82624,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82625,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82626,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82627,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82630,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3040097,17.0594473,"https://www.google.se/maps/@61.3040097,17.0594473,12z?entry=ttu"
82631,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3059173,17.0542297,"https://www.google.se/maps/@61.3059173,17.0542297,12z?entry=ttu"
82632,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3001087,17.0500058,"https://www.google.se/maps/@61.3001087,17.0500058,12z?entry=ttu"
82634,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3108182,17.053498,"https://www.google.se/maps/@61.3108182,17.053498,12z?entry=ttu"
82635,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3101267,17.0380124,"https://www.google.se/maps/@61.3101267,17.0380124,12z?entry=ttu"
82636,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3175498,17.0373276,"https://www.google.se/maps/@61.3175498,17.0373276,12z?entry=ttu"
82637,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3109401,17.0702682,"https://www.google.se/maps/@61.3109401,17.0702682,12z?entry=ttu"
82639,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.2941352,17.0784969,"https://www.google.se/maps/@61.2941352,17.0784969,12z?entry=ttu"
82640,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3028992,17.0120722,"https://www.google.se/maps/@61.3028992,17.0120722,12z?entry=ttu"
82660,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.2970175,17.1084815,"https://www.google.se/maps/@61.2970175,17.1084815,12z?entry=ttu"
82661,Söderala,SÖDERHAMN,2182,Gävleborgs län,61.2821468,16.95946,"https://www.google.se/maps/@61.2821468,16.95946,12z?entry=ttu"
82662,Norrala,SÖDERHAMN,2182,Gävleborgs län,61.3241683,17.0578007,"https://www.google.se/maps/@61.3241683,17.0578007,12z?entry=ttu"
82666,Marmaverken,SÖDERHAMN,2182,Gävleborgs län,61.2697445,16.8660069,"https://www.google.se/maps/@61.2697445,16.8660069,12z?entry=ttu"
82667,Bergvik,SÖDERHAMN,2182,Gävleborgs län,61.2603984,16.795326,"https://www.google.se/maps/@61.2603984,16.795326,12z?entry=ttu"
82668,Bergvik,SÖDERHAMN,2182,Gävleborgs län,61.2582454,16.8341505,"https://www.google.se/maps/@61.2582454,16.8341505,12z?entry=ttu"
82669,Stråtjära,SÖDERHAMN,2182,Gävleborgs län,61.1664956,16.8430624,"https://www.google.se/maps/@61.1664956,16.8430624,12z?entry=ttu"
82670,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.2719071,17.0643495,"https://www.google.se/maps/@61.2719071,17.0643495,12z?entry=ttu"
82672,Sandarne,SÖDERHAMN,2182,Gävleborgs län,61.2599813,17.1472249,"https://www.google.se/maps/@61.2599813,17.1472249,12z?entry=ttu"
82673,Sandarne,SÖDERHAMN,2182,Gävleborgs län,61.240125,17.4003515,"https://www.google.se/maps/@61.240125,17.4003515,12z?entry=ttu"
82675,Ljusne,SÖDERHAMN,2182,Gävleborgs län,61.2114041,17.1266474,"https://www.google.se/maps/@61.2114041,17.1266474,12z?entry=ttu"
82676,Ljusne,SÖDERHAMN,2182,Gävleborgs län,61.2114041,17.1266474,"https://www.google.se/maps/@61.2114041,17.1266474,12z?entry=ttu"
82677,Ljusne,SÖDERHAMN,2182,Gävleborgs län,61.2114041,17.1266474,"https://www.google.se/maps/@61.2114041,17.1266474,12z?entry=ttu"
82680,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82681,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
82682,Söderhamn,SÖDERHAMN,2182,Gävleborgs län,61.3091644,17.0743825,"https://www.google.se/maps/@61.3091644,17.0743825,12z?entry=ttu"
